d,D,B,XX,Designation,e,Y,C
60,95,23,76 500,32012 X,0.43,1.4,76500
60,95,27,85 800,33012,0.33,1.8,85800
60,100,30,110 000,33112,0.4,1.5,110000
60,110,23.75,91 300,30212,0.4,1.5,91300
60,110,29.75,119 000,32212,0.4,1.5,119000
60,110,38,157 000,33212,0.4,1.5,157000
60,115,39,157 000,T5ED060,0.54,1.1,157000
60,115,40,183 000,T2EE060,0.33,1.8,183000
60,125,37,145 000,T7FC060,0.83,0.72,145000
60,130,33.5,161 000,30312,0.35,1.7,161000
60,130,33.5,134 000,31312,0.83,0.72,134000
60,130,48.5,216 000,32312,0.35,1.7,216000
60,130,48.5,205 000,32312 B,0.54,1.1,205000
